criterio,n,selector,detalle,valor_medido,contexto,extra,lectura_automatica,VEREDICTO_HUMANO,nota
1.4.3,25,div > div > div:nth-of-type(1) > p:nth-of-type(3) > button,ajustes,16.29:1  (umbral 4.5:1),11pt negrita,"rgb(255, 255, 255) sobre rgb(32,32,32)",cumple auto,,
2.4.4,1,div:nth-of-type(1) > div > div > span:nth-of-type(1) > a,https://www.facebook.com/IAENUniversidad,"""Facebook""",origen: texto | contexto: Facebook,,REQUIERE JUICIO,,
2.4.4,2,div:nth-of-type(1) > div > div > span:nth-of-type(2) > a,https://www.youtube.com/channel/UCKTEbUe5uui3uPa2T86g2Og,"""Youtube""",origen: texto | contexto: Youtube,,REQUIERE JUICIO,,
2.4.4,3,div:nth-of-type(1) > div > div > span:nth-of-type(3) > a,https://www.tiktok.com/@iaenuniversidad?_t=zm-8te1jfqcfjm&_r,"""Tiktok""",origen: texto | contexto: Tiktok,,REQUIERE JUICIO,,
2.4.4,4,div:nth-of-type(1) > div > div > span:nth-of-type(4) > a,https://x.com/IAENUniversidad,"""X-twitter""",origen: texto | contexto: X-twitter,,REQUIERE JUICIO,,
2.4.4,5,div:nth-of-type(1) > div > div > span:nth-of-type(5) > a,https://www.instagram.com/iaenuniversidad/,"""Instagram""",origen: texto | contexto: Instagram,,REQUIERE JUICIO,,
2.4.4,6,div:nth-of-type(1) > div > div > span:nth-of-type(6) > a,https://ec.linkedin.com/company/iaenuniversidad,"""Linkedin""",origen: texto | contexto: Linkedin,,REQUIERE JUICIO,,
2.4.4,7,#menu-1-2349f5c > li:nth-of-type(1) > a,https://www.iaen.edu.ec/,""">> Inicio""",origen: texto | contexto: >> Inicio,,REQUIERE JUICIO,,
2.4.4,8,#menu-1-2349f5c > li:nth-of-type(2) > a,https://www.iaen.edu.ec/servicios/,""">> Servicios Institucionales""",origen: texto | contexto: >> Servicios Institucionales,,REQUIERE JUICIO,,
2.4.4,9,#menu-1-2349f5c > li:nth-of-type(3) > a,https://docs.google.com/forms/d/e/1FAIpQLScP7XOnkhW1TGKrbdNi,""">> Contacto""",origen: texto | contexto: >> Contacto,,REQUIERE JUICIO,,
2.4.4,10,#menu-1-72551d7 > li:nth-of-type(1) > a,https://www.iaen.edu.ec,"""LA UNIVERSIDAD""",origen: texto | contexto: LA UNIVERSIDAD,,REQUIERE JUICIO,,
2.4.4,11,#menu-1-72551d7 > li:nth-of-type(2) > a,https://www.iaen.edu.ec/oferta/,"""OFERTA ACADÉMICA""",origen: texto | contexto: OFERTA ACADÉMICA,,REQUIERE JUICIO,,
