endpoint_paper,10VU_p50,10VU_p95,10VU_p99,50VU_p50,50VU_p95,50VU_p99,100VU_p50,100VU_p95,100VU_p99
POST /login/,8482.0,18822.0,20368.0,23805.0,29958.0,29962.0,29955.0,29960.0,29961.0
POST /rutas/generar,824.0,30001.0,30001.0,21658.0,30001.0,30001.0,30000.0,30001.0,30001.0
GET /recordatorios,14270.0,30001.0,30001.0,30000.0,30001.0,30001.0,30000.0,30001.0,30001.0
WS /grupo/{id} — connect,2811.0,17809.0,18352.0,12587.0,20230.0,23610.0,12167.0,29429.0,29910.0
WS /grupo/{id} — first msg,2807.0,17871.0,18355.0,12751.0,20263.0,24123.0,12240.0,30047.0,30737.0
